Daily Details for US Cases, Mortaility and Rates
Day: 830 (4/30/22) Cases/today/Infection Rate: 81,427,830/24,010/0.03% - Mortality/Today/Rate: 995,904/115/1.22% 
Day: 831 (5/1/22) Cases/today/Infection Rate: 81,444,551/16,721/0.02% - Mortality/Today/Rate: 995,927/23/1.22% 
Day: 832 (5/2/22) Cases/today/Infection Rate: 81,539,377/94,826/0.12% - Mortality/Today/Rate: 996,219/292/1.22% 
Day: 833 (5/3/22) Cases/today/Infection Rate: 81,589,082/49,705/0.06% - Mortality/Today/Rate: 996,973/754/1.22% 
Day: 834 (5/4/22) Cases/today/Infection Rate: 81,701,217/112,135/0.14% - Mortality/Today/Rate: 998,925/1,952/1.22% 
Day: 835 (5/5/22) Cases/today/Infection Rate: 81,789,910/88,693/0.11% - Mortality/Today/Rate: 999,235/310/1.22% 
Day: 836 (5/6/22) Cases/today/Infection Rate: 81,918,811/128,901/0.16% - Mortality/Today/Rate: 999,615/380/1.22% 
Day: 837 (5/7/22) Cases/today/Infection Rate: 81,946,665/27,854/0.03% - Mortality/Today/Rate: 999,801/186/1.22% 
Day: 838 (5/8/22) Cases/today/Infection Rate: 81,952,457/5,792/0.01% - Mortality/Today/Rate: 999,828/27/1.22% 
Day: 839 (5/9/22) Cases/today/Infection Rate: 82,082,695/130,238/0.16% - Mortality/Today/Rate: 1,000,078/250/1.22% 
Day: 840 (5/10/22) Cases/today/Infection Rate: 82,153,110/70,415/0.09% - Mortality/Today/Rate: 1,000,410/332/1.22% 
Day: 841 (5/11/22) Cases/today/Infection Rate: 82,313,466/160,356/0.20% - Mortality/Today/Rate: 1,001,339/929/1.22% 
Day: 842 (5/12/22) Cases/today/Infection Rate: 82,427,637/114,171/0.14% - Mortality/Today/Rate: 1,001,398/59/1.21% 
Day: 843 (5/13/22) Cases/today/Infection Rate: 82,515,169/87,532/0.11% - Mortality/Today/Rate: 1,001,601/203/1.21% 
Day: 844 (5/14/22) Cases/today/Infection Rate: 82,532,272/17,103/0.02% - Mortality/Today/Rate: 1,001,659/58/1.21% 
Day: 845 (5/15/22) Cases/today/Infection Rate: 82,564,412/32,140/0.04% - Mortality/Today/Rate: 1,001,695/36/1.21% 
Day: 846 (5/16/22) Cases/today/Infection Rate: 82,743,345/178,933/0.22% - Mortality/Today/Rate: 1,001,940/245/1.21% 
Day: 847 (5/17/22) Cases/today/Infection Rate: 82,828,099/84,754/0.10% - Mortality/Today/Rate: 1,002,332/392/1.21% 
Day: 848 (5/18/22) Cases/today/Infection Rate: 83,032,029/203,930/0.25% - Mortality/Today/Rate: 1,003,295/963/1.21% 
Day: 849 (5/19/22) Cases/today/Infection Rate: 83,167,391/135,362/0.16% - Mortality/Today/Rate: 1,003,624/329/1.21% 
Day: 850 (5/20/22) Cases/today/Infection Rate: 83,316,641/149,250/0.18% - Mortality/Today/Rate: 1,004,040/416/1.21% 
Day: 851 (5/21/22) Cases/today/Infection Rate: 83,343,583/26,942/0.03% - Mortality/Today/Rate: 1,004,114/74/1.20% 
Day: 852 (5/22/22) Cases/today/Infection Rate: 83,363,186/19,603/0.02% - Mortality/Today/Rate: 1,004,156/42/1.20% 
Day: 853 (5/23/22) Cases/today/Infection Rate: 83,505,897/142,711/0.17% - Mortality/Today/Rate: 1,004,390/234/1.20% 
Day: 854 (5/24/22) Cases/today/Infection Rate: 83,589,110/83,213/0.10% - Mortality/Today/Rate: 1,004,738/348/1.20% 
Day: 855 (5/25/22) Cases/today/Infection Rate: 83,799,382/210,272/0.25% - Mortality/Today/Rate: 1,005,810/1,072/1.20% 
Day: 856 (5/26/22) Cases/today/Infection Rate: 83,945,090/145,708/0.17% - Mortality/Today/Rate: 1,006,154/344/1.20% 
Day: 857 (5/27/22) Cases/today/Infection Rate: 84,053,332/108,242/0.13% - Mortality/Today/Rate: 1,006,715/561/1.20% 
Day: 858 (5/28/22) Cases/today/Infection Rate: 84,066,085/12,753/0.02% - Mortality/Today/Rate: 1,006,751/36/1.20% 
Day: 859 (5/29/22) Cases/today/Infection Rate: 84,071,909/5,824/0.01% - Mortality/Today/Rate: 1,006,763/12/1.20% 
Day: 860 (5/30/22) Cases/today/Infection Rate: 84,132,840/60,931/0.07% - Mortality/Today/Rate: 1,006,798/35/1.20% 
Day: 861 (5/31/22) Cases/today/Infection Rate: 84,303,413/170,573/0.20% - Mortality/Today/Rate: 1,007,151/353/1.19% 
Day: 862 (6/1/22) Cases/today/Infection Rate: 84,531,085/227,672/0.27% - Mortality/Today/Rate: 1,007,817/666/1.19% 
Day: 863 (6/2/22) Cases/today/Infection Rate: 84,653,012/121,927/0.14% - Mortality/Today/Rate: 1,008,144/327/1.19% 
Day: 864 (6/3/22) Cases/today/Infection Rate: 84,810,820/157,808/0.19% - Mortality/Today/Rate: 1,008,540/396/1.19% 
Day: 865 (6/4/22) Cases/today/Infection Rate: 84,837,289/26,469/0.03% - Mortality/Today/Rate: 1,008,693/153/1.19% 
Day: 866 (6/5/22) Cases/today/Infection Rate: 84,852,184/14,895/0.02% - Mortality/Today/Rate: 1,008,718/25/1.19% 
Day: 867 (6/6/22) Cases/today/Infection Rate: 85,015,150/162,966/0.19% - Mortality/Today/Rate: 1,008,998/280/1.19% 
Day: 868 (6/7/22) Cases/today/Infection Rate: 85,102,012/86,862/0.10% - Mortality/Today/Rate: 1,009,483/485/1.19% 
Day: 869 (6/8/22) Cases/today/Infection Rate: 85,301,417/199,405/0.23% - Mortality/Today/Rate: 1,010,686/1,203/1.18% 
Day: 870 (6/9/22) Cases/today/Infection Rate: 85,444,547/143,130/0.17% - Mortality/Today/Rate: 1,010,984/298/1.18% 
Day: 871 (6/10/22) Cases/today/Infection Rate: 85,552,316/107,769/0.13% - Mortality/Today/Rate: 1,011,355/371/1.18% 
Day: 872 (6/11/22) Cases/today/Infection Rate: 85,586,318/34,002/0.04% - Mortality/Today/Rate: 1,011,462/107/1.18% 
Day: 873 (6/12/22) Cases/today/Infection Rate: 85,602,894/16,576/0.02% - Mortality/Today/Rate: 1,011,487/25/1.18% 
Day: 874 (6/13/22) Cases/today/Infection Rate: 85,757,524/154,630/0.18% - Mortality/Today/Rate: 1,011,765/278/1.18% 
Day: 875 (6/14/22) Cases/today/Infection Rate: 85,847,649/90,125/0.11% - Mortality/Today/Rate: 1,012,127/362/1.18% 
Day: 876 (6/15/22) Cases/today/Infection Rate: 86,032,581/184,932/0.22% - Mortality/Today/Rate: 1,012,838/711/1.18% 
Day: 877 (6/16/22) Cases/today/Infection Rate: 86,162,766/130,185/0.15% - Mortality/Today/Rate: 1,013,284/446/1.18% 
Day: 878 (6/17/22) Cases/today/Infection Rate: 86,302,174/139,408/0.16% - Mortality/Today/Rate: 1,013,610/326/1.17% 
Day: 879 (6/18/22) Cases/today/Infection Rate: 86,318,653/16,479/0.02% - Mortality/Today/Rate: 1,013,641/31/1.17% 
Day: 880 (6/19/22) Cases/today/Infection Rate: 86,335,581/16,928/0.02% - Mortality/Today/Rate: 1,013,688/47/1.17% 
Day: 881 (6/20/22) Cases/today/Infection Rate: 86,432,362/96,781/0.11% - Mortality/Today/Rate: 1,013,774/86/1.17% 
Day: 882 (6/21/22) Cases/today/Infection Rate: 86,544,251/111,889/0.13% - Mortality/Today/Rate: 1,014,224/450/1.17% 
Day: 883 (6/22/22) Cases/today/Infection Rate: 86,729,753/185,502/0.21% - Mortality/Today/Rate: 1,015,088/864/1.17% 
Day: 884 (6/23/22) Cases/today/Infection Rate: 86,879,117/149,364/0.17% - Mortality/Today/Rate: 1,015,482/394/1.17% 
Day: 885 (6/24/22) Cases/today/Infection Rate: 86,996,936/117,819/0.14% - Mortality/Today/Rate: 1,015,931/449/1.17% 
Day: 886 (6/25/22) Cases/today/Infection Rate: 87,036,574/39,638/0.05% - Mortality/Today/Rate: 1,016,078/147/1.17% 
Day: 887 (6/26/22) Cases/today/Infection Rate: 87,057,654/21,080/0.02% - Mortality/Today/Rate: 1,016,090/12/1.17% 
Day: 888 (6/27/22) Cases/today/Infection Rate: 87,221,685/164,031/0.19% - Mortality/Today/Rate: 1,016,390/300/1.17% 
Day: 889 (6/28/22) Cases/today/Infection Rate: 87,318,940/97,255/0.11% - Mortality/Today/Rate: 1,016,958/568/1.16% 
Day: 890 (6/29/22) Cases/today/Infection Rate: 87,509,289/190,349/0.22% - Mortality/Today/Rate: 1,017,693/735/1.16% 
Day: 891 (6/30/22) Cases/today/Infection Rate: 87,676,975/167,686/0.19% - Mortality/Today/Rate: 1,017,415/-278/1.16% 
Day: 892 (7/1/22) Cases/today/Infection Rate: 87,834,097/157,122/0.18% - Mortality/Today/Rate: 1,017,914/499/1.16% 
Day: 893 (7/2/22) Cases/today/Infection Rate: 87,853,095/18,998/0.02% - Mortality/Today/Rate: 1,017,950/36/1.16% 
Day: 894 (7/3/22) Cases/today/Infection Rate: 87,860,377/7,282/0.01% - Mortality/Today/Rate: 1,017,953/3/1.16% 
Day: 895 (7/4/22) Cases/today/Infection Rate: 87,940,825/80,448/0.09% - Mortality/Today/Rate: 1,018,026/73/1.16% 
Day: 896 (7/5/22) Cases/today/Infection Rate: 88,080,985/140,160/0.16% - Mortality/Today/Rate: 1,018,470/444/1.16% 
Day: 897 (7/6/22) Cases/today/Infection Rate: 88,281,580/200,595/0.23% - Mortality/Today/Rate: 1,019,232/762/1.15% 
Day: 898 (7/7/22) Cases/today/Infection Rate: 88,423,664/142,084/0.16% - Mortality/Today/Rate: 1,020,334/1,102/1.15% 
Day: 899 (7/8/22) Cases/today/Infection Rate: 88,561,741/138,077/0.16% - Mortality/Today/Rate: 1,020,869/535/1.15% 
Day: 900 (7/9/22) Cases/today/Infection Rate: 88,589,112/27,371/0.03% - Mortality/Today/Rate: 1,020,908/39/1.15% 
Day: 901 (7/10/22) Cases/today/Infection Rate: 88,611,965/22,853/0.03% - Mortality/Today/Rate: 1,020,930/22/1.15% 
Day: 902 (7/11/22) Cases/today/Infection Rate: 88,813,808/201,843/0.23% - Mortality/Today/Rate: 1,021,386/456/1.15% 
Day: 903 (7/12/22) Cases/today/Infection Rate: 88,961,141/147,333/0.17% - Mortality/Today/Rate: 1,021,953/567/1.15% 
Day: 904 (7/13/22) Cases/today/Infection Rate: 89,164,555/203,414/0.23% - Mortality/Today/Rate: 1,022,931/978/1.15% 
Day: 905 (7/14/22) Cases/today/Infection Rate: 89,338,805/174,250/0.20% - Mortality/Today/Rate: 1,023,292/361/1.15% 
Day: 906 (7/15/22) Cases/today/Infection Rate: 89,489,336/150,531/0.17% - Mortality/Today/Rate: 1,023,772/480/1.14% 
Day: 907 (7/16/22) Cases/today/Infection Rate: 89,528,797/39,461/0.04% - Mortality/Today/Rate: 1,023,824/52/1.14% 
Day: 908 (7/17/22) Cases/today/Infection Rate: 89,547,608/18,811/0.02% - Mortality/Today/Rate: 1,023,851/27/1.14% 
Day: 909 (7/18/22) Cases/today/Infection Rate: 89,712,243/164,635/0.18% - Mortality/Today/Rate: 1,024,288/437/1.14% 
Day: 910 (7/19/22) Cases/today/Infection Rate: 89,830,497/118,254/0.13% - Mortality/Today/Rate: 1,024,880/592/1.14% 
Day: 911 (7/20/22) Cases/today/Infection Rate: 90,046,261/215,764/0.24% - Mortality/Today/Rate: 1,025,763/883/1.14% 

Forecast Details: 120 days
Forecast: 912 (07/21/22) Cases/Today/Infection Rate: 90,262,543/216,282/0.24% - Mortality/Today/Rate: 1,028,226/406/1.14% 
Forecast: 913 (07/22/22) Cases/Today/Infection Rate: 90,479,344/216,801/0.24% - Mortality/Today/Rate: 1,030,696/413/1.13% 
Forecast: 914 (07/23/22) Cases/Today/Infection Rate: 90,696,666/217,322/0.24% - Mortality/Today/Rate: 1,033,172/403/1.13% 
Forecast: 915 (07/24/22) Cases/Today/Infection Rate: 90,914,510/217,844/0.24% - Mortality/Today/Rate: 1,035,653/454/1.13% 
Forecast: 916 (07/25/22) Cases/Today/Infection Rate: 91,132,877/218,367/0.24% - Mortality/Today/Rate: 1,038,141/515/1.13% 
Forecast: 917 (07/26/22) Cases/Today/Infection Rate: 91,351,769/218,892/0.24% - Mortality/Today/Rate: 1,040,634/526/1.13% 
Forecast: 918 (07/27/22) Cases/Today/Infection Rate: 91,571,186/219,417/0.24% - Mortality/Today/Rate: 1,043,134/517/1.12% 
Forecast: 919 (07/28/22) Cases/Today/Infection Rate: 91,791,130/219,944/0.24% - Mortality/Today/Rate: 1,045,639/464/1.12% 
Forecast: 920 (07/29/22) Cases/Today/Infection Rate: 92,011,603/220,473/0.24% - Mortality/Today/Rate: 1,048,151/473/1.12% 
Forecast: 921 (07/30/22) Cases/Today/Infection Rate: 92,232,605/221,002/0.24% - Mortality/Today/Rate: 1,050,668/481/1.12% 
Forecast: 922 (07/31/22) Cases/Today/Infection Rate: 92,454,138/221,533/0.24% - Mortality/Today/Rate: 1,053,192/492/1.11% 
Forecast: 923 (08/01/22) Cases/Today/Infection Rate: 92,676,203/222,065/0.24% - Mortality/Today/Rate: 1,055,722/498/1.11% 
Forecast: 924 (08/02/22) Cases/Today/Infection Rate: 92,898,802/222,599/0.24% - Mortality/Today/Rate: 1,058,257/495/1.11% 
Forecast: 925 (08/03/22) Cases/Today/Infection Rate: 93,121,935/223,133/0.24% - Mortality/Today/Rate: 1,060,799/491/1.11% 
Forecast: 926 (08/04/22) Cases/Today/Infection Rate: 93,345,604/223,669/0.24% - Mortality/Today/Rate: 1,063,347/487/1.11% 
Forecast: 927 (08/05/22) Cases/Today/Infection Rate: 93,569,810/224,206/0.24% - Mortality/Today/Rate: 1,065,901/491/1.10% 
Forecast: 928 (08/06/22) Cases/Today/Infection Rate: 93,794,555/224,745/0.24% - Mortality/Today/Rate: 1,068,461/493/1.10% 
Forecast: 929 (08/07/22) Cases/Today/Infection Rate: 94,019,840/225,285/0.24% - Mortality/Today/Rate: 1,071,028/495/1.10% 
Forecast: 930 (08/08/22) Cases/Today/Infection Rate: 94,245,666/225,826/0.24% - Mortality/Today/Rate: 1,073,600/495/1.10% 
Forecast: 931 (08/09/22) Cases/Today/Infection Rate: 94,472,034/226,368/0.24% - Mortality/Today/Rate: 1,076,179/495/1.10% 
Forecast: 932 (08/10/22) Cases/Today/Infection Rate: 94,698,946/226,912/0.24% - Mortality/Today/Rate: 1,078,764/495/1.09% 
Forecast: 933 (08/11/22) Cases/Today/Infection Rate: 94,926,403/227,457/0.24% - Mortality/Today/Rate: 1,081,355/495/1.09% 
Forecast: 934 (08/12/22) Cases/Today/Infection Rate: 95,154,406/228,003/0.24% - Mortality/Today/Rate: 1,083,952/497/1.09% 
Forecast: 935 (08/13/22) Cases/Today/Infection Rate: 95,382,957/228,551/0.24% - Mortality/Today/Rate: 1,086,556/497/1.09% 
Forecast: 936 (08/14/22) Cases/Today/Infection Rate: 95,612,057/229,100/0.24% - Mortality/Today/Rate: 1,089,165/498/1.08% 
Forecast: 937 (08/15/22) Cases/Today/Infection Rate: 95,841,707/229,650/0.24% - Mortality/Today/Rate: 1,091,781/498/1.08% 
Forecast: 938 (08/16/22) Cases/Today/Infection Rate: 96,071,909/230,202/0.24% - Mortality/Today/Rate: 1,094,404/499/1.08% 
Forecast: 939 (08/17/22) Cases/Today/Infection Rate: 96,302,664/230,755/0.24% - Mortality/Today/Rate: 1,097,032/499/1.08% 
Forecast: 940 (08/18/22) Cases/Today/Infection Rate: 96,533,973/231,309/0.24% - Mortality/Today/Rate: 1,099,667/500/1.08% 
Forecast: 941 (08/19/22) Cases/Today/Infection Rate: 96,765,838/231,865/0.24% - Mortality/Today/Rate: 1,102,309/501/1.07% 
Forecast: 942 (08/20/22) Cases/Today/Infection Rate: 96,998,260/232,422/0.24% - Mortality/Today/Rate: 1,104,956/501/1.07% 
Forecast: 943 (08/21/22) Cases/Today/Infection Rate: 97,231,240/232,980/0.24% - Mortality/Today/Rate: 1,107,610/502/1.07% 
Forecast: 944 (08/22/22) Cases/Today/Infection Rate: 97,464,779/233,539/0.24% - Mortality/Today/Rate: 1,110,271/503/1.07% 
Forecast: 945 (08/23/22) Cases/Today/Infection Rate: 97,698,879/234,100/0.24% - Mortality/Today/Rate: 1,112,937/503/1.07% 
Forecast: 946 (08/24/22) Cases/Today/Infection Rate: 97,933,542/234,663/0.24% - Mortality/Today/Rate: 1,115,611/504/1.06% 
Forecast: 947 (08/25/22) Cases/Today/Infection Rate: 98,168,768/235,226/0.24% - Mortality/Today/Rate: 1,118,290/505/1.06% 
Forecast: 948 (08/26/22) Cases/Today/Infection Rate: 98,404,559/235,791/0.24% - Mortality/Today/Rate: 1,120,976/505/1.06% 
Forecast: 949 (08/27/22) Cases/Today/Infection Rate: 98,640,917/236,358/0.24% - Mortality/Today/Rate: 1,123,669/506/1.06% 
Forecast: 950 (08/28/22) Cases/Today/Infection Rate: 98,877,842/236,925/0.24% - Mortality/Today/Rate: 1,126,368/507/1.06% 
Forecast: 951 (08/29/22) Cases/Today/Infection Rate: 99,115,336/237,494/0.24% - Mortality/Today/Rate: 1,129,073/507/1.05% 
Forecast: 952 (08/30/22) Cases/Today/Infection Rate: 99,353,401/238,065/0.24% - Mortality/Today/Rate: 1,131,785/508/1.05% 
Forecast: 953 (08/31/22) Cases/Today/Infection Rate: 99,592,038/238,637/0.24% - Mortality/Today/Rate: 1,134,503/509/1.05% 
Forecast: 954 (09/01/22) Cases/Today/Infection Rate: 99,831,248/239,210/0.24% - Mortality/Today/Rate: 1,137,228/509/1.05% 
Forecast: 955 (09/02/22) Cases/Today/Infection Rate: 100,071,032/239,784/0.24% - Mortality/Today/Rate: 1,139,960/510/1.05% 
Forecast: 956 (09/03/22) Cases/Today/Infection Rate: 100,311,392/240,360/0.24% - Mortality/Today/Rate: 1,142,698/511/1.04% 
Forecast: 957 (09/04/22) Cases/Today/Infection Rate: 100,552,330/240,938/0.24% - Mortality/Today/Rate: 1,145,443/511/1.04% 
Forecast: 958 (09/05/22) Cases/Today/Infection Rate: 100,793,846/241,516/0.24% - Mortality/Today/Rate: 1,148,194/512/1.04% 
Forecast: 959 (09/06/22) Cases/Today/Infection Rate: 101,035,942/242,096/0.24% - Mortality/Today/Rate: 1,150,952/513/1.04% 
Forecast: 960 (09/07/22) Cases/Today/Infection Rate: 101,278,620/242,678/0.24% - Mortality/Today/Rate: 1,153,716/513/1.04% 
Forecast: 961 (09/08/22) Cases/Today/Infection Rate: 101,521,881/243,261/0.24% - Mortality/Today/Rate: 1,156,487/514/1.03% 
Forecast: 962 (09/09/22) Cases/Today/Infection Rate: 101,765,726/243,845/0.24% - Mortality/Today/Rate: 1,159,265/515/1.03% 
Forecast: 963 (09/10/22) Cases/Today/Infection Rate: 102,010,157/244,431/0.24% - Mortality/Today/Rate: 1,162,049/515/1.03% 
Forecast: 964 (09/11/22) Cases/Today/Infection Rate: 102,255,175/245,018/0.24% - Mortality/Today/Rate: 1,164,840/516/1.03% 
Forecast: 965 (09/12/22) Cases/Today/Infection Rate: 102,500,781/245,606/0.24% - Mortality/Today/Rate: 1,167,638/517/1.03% 
Forecast: 966 (09/13/22) Cases/Today/Infection Rate: 102,746,977/246,196/0.24% - Mortality/Today/Rate: 1,170,443/517/1.02% 
Forecast: 967 (09/14/22) Cases/Today/Infection Rate: 102,993,765/246,788/0.24% - Mortality/Today/Rate: 1,173,254/518/1.02% 
Forecast: 968 (09/15/22) Cases/Today/Infection Rate: 103,241,145/247,380/0.24% - Mortality/Today/Rate: 1,176,072/519/1.02% 
Forecast: 969 (09/16/22) Cases/Today/Infection Rate: 103,489,120/247,975/0.24% - Mortality/Today/Rate: 1,178,897/519/1.02% 
Forecast: 970 (09/17/22) Cases/Today/Infection Rate: 103,737,690/248,570/0.24% - Mortality/Today/Rate: 1,181,729/520/1.02% 
Forecast: 971 (09/18/22) Cases/Today/Infection Rate: 103,986,857/249,167/0.24% - Mortality/Today/Rate: 1,184,567/521/1.01% 
Forecast: 972 (09/19/22) Cases/Today/Infection Rate: 104,236,623/249,766/0.24% - Mortality/Today/Rate: 1,187,412/521/1.01% 
Forecast: 973 (09/20/22) Cases/Today/Infection Rate: 104,486,989/250,366/0.24% - Mortality/Today/Rate: 1,190,264/522/1.01% 
Forecast: 974 (09/21/22) Cases/Today/Infection Rate: 104,737,956/250,967/0.24% - Mortality/Today/Rate: 1,193,123/523/1.01% 
Forecast: 975 (09/22/22) Cases/Today/Infection Rate: 104,989,526/251,570/0.24% - Mortality/Today/Rate: 1,195,989/523/1.01% 
Forecast: 976 (09/23/22) Cases/Today/Infection Rate: 105,241,700/252,174/0.24% - Mortality/Today/Rate: 1,198,862/524/1.01% 
Forecast: 977 (09/24/22) Cases/Today/Infection Rate: 105,494,480/252,780/0.24% - Mortality/Today/Rate: 1,201,741/525/1.00% 
Forecast: 978 (09/25/22) Cases/Today/Infection Rate: 105,747,867/253,387/0.24% - Mortality/Today/Rate: 1,204,628/525/1.00% 
Forecast: 979 (09/26/22) Cases/Today/Infection Rate: 106,001,862/253,995/0.24% - Mortality/Today/Rate: 1,207,521/526/1.00% 
Forecast: 980 (09/27/22) Cases/Today/Infection Rate: 106,256,468/254,606/0.24% - Mortality/Today/Rate: 1,210,421/527/1.00% 
Forecast: 981 (09/28/22) Cases/Today/Infection Rate: 106,511,685/255,217/0.24% - Mortality/Today/Rate: 1,213,329/527/1.00% 
Forecast: 982 (09/29/22) Cases/Today/Infection Rate: 106,767,515/255,830/0.24% - Mortality/Today/Rate: 1,216,243/528/0.99% 
Forecast: 983 (09/30/22) Cases/Today/Infection Rate: 107,023,960/256,445/0.24% - Mortality/Today/Rate: 1,219,164/529/0.99% 
Forecast: 984 (10/01/22) Cases/Today/Infection Rate: 107,281,021/257,061/0.24% - Mortality/Today/Rate: 1,222,092/529/0.99% 
Forecast: 985 (10/02/22) Cases/Today/Infection Rate: 107,538,699/257,678/0.24% - Mortality/Today/Rate: 1,225,028/530/0.99% 
Forecast: 986 (10/03/22) Cases/Today/Infection Rate: 107,796,996/258,297/0.24% - Mortality/Today/Rate: 1,227,970/531/0.99% 
Forecast: 987 (10/04/22) Cases/Today/Infection Rate: 108,055,913/258,917/0.24% - Mortality/Today/Rate: 1,230,920/531/0.98% 
Forecast: 988 (10/05/22) Cases/Today/Infection Rate: 108,315,452/259,539/0.24% - Mortality/Today/Rate: 1,233,876/532/0.98% 
Forecast: 989 (10/06/22) Cases/Today/Infection Rate: 108,575,615/260,163/0.24% - Mortality/Today/Rate: 1,236,840/533/0.98% 
Forecast: 990 (10/07/22) Cases/Today/Infection Rate: 108,836,402/260,787/0.24% - Mortality/Today/Rate: 1,239,811/533/0.98% 
Forecast: 991 (10/08/22) Cases/Today/Infection Rate: 109,097,816/261,414/0.24% - Mortality/Today/Rate: 1,242,789/534/0.98% 
Forecast: 992 (10/09/22) Cases/Today/Infection Rate: 109,359,858/262,042/0.24% - Mortality/Today/Rate: 1,245,774/535/0.97% 
Forecast: 993 (10/10/22) Cases/Today/Infection Rate: 109,622,529/262,671/0.24% - Mortality/Today/Rate: 1,248,766/535/0.97% 
Forecast: 994 (10/11/22) Cases/Today/Infection Rate: 109,885,831/263,302/0.24% - Mortality/Today/Rate: 1,251,765/536/0.97% 
Forecast: 995 (10/12/22) Cases/Today/Infection Rate: 110,149,765/263,934/0.24% - Mortality/Today/Rate: 1,254,772/537/0.97% 
Forecast: 996 (10/13/22) Cases/Today/Infection Rate: 110,414,333/264,568/0.24% - Mortality/Today/Rate: 1,257,786/537/0.97% 
Forecast: 997 (10/14/22) Cases/Today/Infection Rate: 110,679,537/265,204/0.24% - Mortality/Today/Rate: 1,260,807/538/0.97% 
Forecast: 998 (10/15/22) Cases/Today/Infection Rate: 110,945,378/265,841/0.24% - Mortality/Today/Rate: 1,263,835/539/0.96% 
Forecast: 999 (10/16/22) Cases/Today/Infection Rate: 111,211,857/266,479/0.24% - Mortality/Today/Rate: 1,266,871/539/0.96% 
Forecast: 1000 (10/17/22) Cases/Today/Infection Rate: 111,478,976/267,119/0.24% - Mortality/Today/Rate: 1,269,914/540/0.96% 
Forecast: 1001 (10/18/22) Cases/Today/Infection Rate: 111,746,737/267,761/0.24% - Mortality/Today/Rate: 1,272,964/541/0.96% 
Forecast: 1002 (10/19/22) Cases/Today/Infection Rate: 112,015,141/268,404/0.24% - Mortality/Today/Rate: 1,276,021/541/0.96% 
Forecast: 1003 (10/20/22) Cases/Today/Infection Rate: 112,284,190/269,049/0.24% - Mortality/Today/Rate: 1,279,086/542/0.95% 
Forecast: 1004 (10/21/22) Cases/Today/Infection Rate: 112,553,885/269,695/0.24% - Mortality/Today/Rate: 1,282,158/543/0.95% 
Forecast: 1005 (10/22/22) Cases/Today/Infection Rate: 112,824,228/270,343/0.24% - Mortality/Today/Rate: 1,285,238/543/0.95% 
Forecast: 1006 (10/23/22) Cases/Today/Infection Rate: 113,095,220/270,992/0.24% - Mortality/Today/Rate: 1,288,325/544/0.95% 
Forecast: 1007 (10/24/22) Cases/Today/Infection Rate: 113,366,863/271,643/0.24% - Mortality/Today/Rate: 1,291,419/545/0.95% 
Forecast: 1008 (10/25/22) Cases/Today/Infection Rate: 113,639,159/272,296/0.24% - Mortality/Today/Rate: 1,294,521/545/0.95% 
Forecast: 1009 (10/26/22) Cases/Today/Infection Rate: 113,912,109/272,950/0.24% - Mortality/Today/Rate: 1,297,631/546/0.94% 
Forecast: 1010 (10/27/22) Cases/Today/Infection Rate: 114,185,714/273,605/0.24% - Mortality/Today/Rate: 1,300,747/547/0.94% 
Forecast: 1011 (10/28/22) Cases/Today/Infection Rate: 114,459,976/274,262/0.24% - Mortality/Today/Rate: 1,303,872/547/0.94% 
Forecast: 1012 (10/29/22) Cases/Today/Infection Rate: 114,734,897/274,921/0.24% - Mortality/Today/Rate: 1,307,003/548/0.94% 
Forecast: 1013 (10/30/22) Cases/Today/Infection Rate: 115,010,478/275,581/0.24% - Mortality/Today/Rate: 1,310,143/549/0.94% 
Forecast: 1014 (10/31/22) Cases/Today/Infection Rate: 115,286,721/276,243/0.24% - Mortality/Today/Rate: 1,313,289/549/0.94% 
Forecast: 1015 (11/01/22) Cases/Today/Infection Rate: 115,563,628/276,907/0.24% - Mortality/Today/Rate: 1,316,444/550/0.93% 
Forecast: 1016 (11/02/22) Cases/Today/Infection Rate: 115,841,200/277,572/0.24% - Mortality/Today/Rate: 1,319,606/551/0.93% 
Forecast: 1017 (11/03/22) Cases/Today/Infection Rate: 116,119,439/278,239/0.24% - Mortality/Today/Rate: 1,322,775/552/0.93% 
Forecast: 1018 (11/04/22) Cases/Today/Infection Rate: 116,398,346/278,907/0.24% - Mortality/Today/Rate: 1,325,953/552/0.93% 
Forecast: 1019 (11/05/22) Cases/Today/Infection Rate: 116,677,923/279,577/0.24% - Mortality/Today/Rate: 1,329,137/553/0.93% 
Forecast: 1020 (11/06/22) Cases/Today/Infection Rate: 116,958,171/280,248/0.24% - Mortality/Today/Rate: 1,332,330/554/0.92% 
Forecast: 1021 (11/07/22) Cases/Today/Infection Rate: 117,239,092/280,921/0.24% - Mortality/Today/Rate: 1,335,530/554/0.92% 
Forecast: 1022 (11/08/22) Cases/Today/Infection Rate: 117,520,688/281,596/0.24% - Mortality/Today/Rate: 1,338,738/555/0.92% 
Forecast: 1023 (11/09/22) Cases/Today/Infection Rate: 117,802,961/282,273/0.24% - Mortality/Today/Rate: 1,341,953/556/0.92% 
Forecast: 1024 (11/10/22) Cases/Today/Infection Rate: 118,085,912/282,951/0.24% - Mortality/Today/Rate: 1,345,177/557/0.92% 
Forecast: 1025 (11/11/22) Cases/Today/Infection Rate: 118,369,542/283,630/0.24% - Mortality/Today/Rate: 1,348,407/557/0.92% 
Forecast: 1026 (11/12/22) Cases/Today/Infection Rate: 118,653,853/284,311/0.24% - Mortality/Today/Rate: 1,351,646/558/0.91% 
